place_id,name,rating,latitude,longitude,vicinity
ChIJsQhIgpDGwoARtpWMP3oT6Ls,Maria's Restaurant,4.4,34.0876126,-118.2177378,"3401 N Figueroa St, Los Angeles"
ChIJC4a6jXfJwoAR5jSaUPD6nFI,Naomi's Pupusería and Restaurant #1,4.2,34.003736,-118.2436134,"1682 E Vernon Ave, Los Angeles"
ChIJw3_HzkDIwoAR9VqU4XIkwKY,La Antorcha Restaurante y Pupusería,4.4,33.9940514,-118.2741066,"5303 Main St, Los Angeles"
ChIJ1xl67fW4woARdRFxw9GDmPk,El Baron,4.0,34.0477319,-118.3273911,"4212 W Pico Blvd, Los Angeles"
ChIJqRvKXsrJwoARF-vGyH8u1KI,Paseo El Dorado,4.4,33.9745213,-118.2778773,"254 W Florence Ave, Los Angeles"
ChIJkW_19nC4woAR-3byhBWqy4g,El Sonsonateco Restaurant,4.4,34.0400914,-118.3082762,"2171 W Washington Blvd, Los Angeles"
ChIJZcN5KVXHwoARl6EdTBAnbIg,Sabor Latino's,4.2,34.0952351,-118.2964464,"4908 Fountain Ave, Los Angeles"
ChIJpdRxjrnHwoARl0tefp4Cl5Q,El Sazón Ktracho No. 3,4.4,34.0316839,-118.2644249,"1825 Main St, Los Angeles"
ChIJ4_FpkmPHwoARROxoHndURyQ,Las Tunas Restaurant,3.9,34.0692276,-118.2943835,"3603 W 3rd St, Los Angeles"
ChIJSUKdTvfHwoAR0c7YB_q0-Bw,La Flor Blanca Salvadoreña,4.1,34.0258398,-118.2942563,"1279 W Jefferson Blvd, Los Angeles"
ChIJGyy4Up7GwoARhfkbVbcHWZY,El Buen Sabor,4.2,34.0946675,-118.2081576,"4306 N Figueroa St, Los Angeles"
ChIJxcC-bdi3woARXnO6Z2jLiYM,Don Lencho,4.0,33.9836183,-118.3005619,"6119 Normandie Ave, Los Angeles"
ChIJu1gtkpnHwoAReDLaixEwMFg,Playa Las Tunas Restaurant,3.5,34.050376,-118.281286,"1107 S Alvarado St, Los Angeles"
ChIJzS-iyl_HwoARnP4XE6TTAhk,La Piramide Salvadoreña Restaurant,4.2,34.07648750000001,-118.2965942,"4021 Beverly Blvd, Los Angeles"
ChIJFcr8ZgDHwoARQe8pfr9Sli0,El Churrasco Salvadoreño,4.9,34.0474287,-118.2846104,"2201 W Pico Blvd #A, Los Angeles"
ChIJY0d2CeO_woARWgGDdaFA9bA,Pupuseria Del Valle,4.0,34.1696482,-118.313763,"431 S Victory Blvd, Burbank"
ChIJU9u5ioiWwoARlqeT29cB92M,Pulgarcito Querido,4.2,34.1724012,-118.3690521,"10929 Burbank Blvd, North Hollywood"
ChIJy8rghsnHwoARA1ohthUlOmU,Restaurante Cabañas,4.3,34.0415532,-118.2587347,"1003 S Hill St, Los Angeles"
ChIJ01Cd2i7GwoARO3ikWwwnkdA,Restaurante Y Pupuseria El Rinconcito Familiar,4.0,34.0327573,-118.2453197,"1230 E Olympic Blvd, Los Angeles"
ChIJ07EKJAjJwoARROqinYAYZlE,Playas El Salvador,4.4,34.0100083,-118.2562793,"4052 S Central Ave, Los Angeles"
ChIJhcMzUa3JwoARJVdLuBmX4so,Paseo San Miguel,5.0,34.0092605,-118.2781288,"4088 S Broadway, Los Angeles"
ChIJS0d89NyVwoARtchIuVcsAuA,Jaltepeque Restaurant,3.9,34.1798013,-118.383917,"6007 Lankershim Blvd #11, North Hollywood"
ChIJSdQYRS66woARTbJSr73TdTY,Gloria's Cafe,4.4,34.0215538,-118.4027208,"10227 Venice Blvd., Los Angeles"
ChIJI0NDDofHwoARsbLi-FylDOk,El Nuevo Mirador Restaurant,4.1,34.0473734,-118.29748,"2705 W Pico Blvd, Los Angeles"
ChIJh1AQdA-VwoARPdpWwT0w72I,Vicki’s Place,4.6,34.1792943,-118.3701396,"5958 Vineland Ave #1329, North Hollywood"
ChIJp6gNKC66woARUZO3QCfRaKA,Es Con Sabor West,4.4,34.02048980000001,-118.4045703,"10401 Venice Blvd. #105, Los Angeles"
ChIJjY4H7_THwoAR72dKWhKmKFA,El Chalateco,4.4,34.0326089,-118.2957537,"1540 W Adams Blvd, Los Angeles"
ChIJYdA8tAO5woARsoTXvcmlN1E,El Nuevo Santaneco Restaurant,3.9,34.0470801,-118.3082235,"3068 W Pico Blvd, Los Angeles"
ChIJtySJO5KVwoARAaYLvb2-0Hg,Izalco Restaurant,3.9,34.1724269,-118.3647157,"10729 Burbank Blvd, North Hollywood"
ChIJL8oBwWzHwoARbe7TCrb9H6s,Los Molcajetes (Temple),4.1,34.0733552,-118.2774072,"2748 W Temple St, Los Angeles"
ChIJM652Z1y4woARcUUjuP4jx_Q,La Usuluteca,3.8,34.039704,-118.3273573,"4014 W Washington Blvd, Los Angeles"
ChIJYyBInrK4woAR2W6UFvEQSaE,Coma Pronto Restaurant,4.2,34.09065,-118.3112008,"5560 Santa Monica Blvd, Los Angeles"
ChIJj4F-IYO5woARc6wMo5CRD0k,El Baron Restaurant & NightClub,4.0,34.0303766,-118.382565,"8641 Washington Blvd, Culver City"
ChIJI1U6c4fHwoARBKYVAi-O12A,Restaurante y Panaderia Sabor Latino,3.6,34.0470806,-118.2981445,"2722 W Pico Blvd, Los Angeles"
ChIJFxxTDmC4woARDWj4u_EIeMg,El Trebol,4.5,34.0475842,-118.3222854,"3731 W Pico Blvd, Los Angeles"
ChIJYTr97Aq6woARXShA1qTl-x8,Panaderia y Pupuseria Los Cocos,4.5,33.9895445,-118.4185705,"4804 S Centinela Ave, Los Angeles"
ChIJXTr10Gi7woAReFvo4KrIOEc,MANOLY'S BAKERY & CAFE,4.4,34.0431907,-118.4579859,"11771 Santa Monica Blvd, Los Angeles"
ChIJ0eI6u0i7woARxEnqGDPD8YI,The Spot Street Pupusas,4.7,34.0264426,-118.4317981,"11321 national blv los ángeles California 90034, Los Angeles"
ChIJ5aoSTGi7woARDsK4B3MazNE,Tlaco Tacos,3.8,34.04192889999999,-118.4610944,"11923 Santa Monica Blvd, Los Angeles"
ChIJpZJCTADdwoARFPDodvQHl2Q,Melys Restaurant #2,4.3,34.1494608,-118.106597,"2122 E Foothill Blvd, Pasadena"
ChIJn1GGPCPDwoAR2IMx5OBnIo8,Llego el Sabor,4.1,34.1684751,-118.1319934,"1308 N Lake Ave, Pasadena"
ChIJ-XQM3A3DwoARk9BGt0PaaJE,EL Rinconcito Azteca,4.0,34.1576745,-118.1491235,"687 N Raymond Ave, Pasadena"
ChIJlaloIyPDwoARUVLN4FOE4VI,La Caravana Salvadorian Restaurant,4.1,34.1684137,-118.1318781,"1306 N Lake Ave, Pasadena"
ChIJb3SBLFfDwoARLYNp-054AOE,Jacky's pupusas,,34.1849642,-118.1513082,"2283 N Fair Oaks Ave, Altadena"
ChIJSdK37EjBwoAR1x-2oMSQxmc,La Esquina Restaurante 2,4.2,34.1220131,-118.2254684,"4159 Eagle Rock Blvd, Los Angeles"
ChIJ2f_qpr7QwoARLwrjHYkrYCk,Don Carlos Pupuseria,4.0,34.0626609,-118.037193,"10928 Garvey Ave, South El Monte"
ChIJLeu5ij7DwoAR_OMTlM6SoNU,Mely's Pupuseria & Restaurant,3.8,34.1608603,-118.1326972,"863 N Lake Ave, Pasadena"
ChIJMbFO0SvBwoARGcjpsCNpu0I,El Amoroso,4.1,34.1123782,-118.249351,"2829 Fletcher Dr, Los Angeles"
ChIJwVo_Vc_GwoARXzeH2xeecYI,Salvamex Restaurant,4.6,34.1008978,-118.2351314,"1910 Cypress Ave, Los Angeles"
ChIJA2Rx7ZXGwoARezPPDm6sdcM,Genesis,4.4,34.0925114,-118.2244765,"901 Cypress Ave, Los Angeles"
ChIJYes7n9DBwoARDkzzmVNr9G8,Pupusas Carmencita,4.7,34.1113618,-118.2434494,"2817 N San Fernando Rd, Los Angeles"
ChIJCTKNZAk03YARP4ILFt2q06I,Pupuseria Salvadorena,4.1,33.8040953,-118.2095647,"1336 W Willow St #102, Long Beach"
ChIJH1kWxI003YARyB2UQIZsqaE,El Tenampa,4.1,33.835153,-118.2243856,"21312 Alameda St, Long Beach"
ChIJjw32JVAx3YARy5vnIoBfAnA,Cafecito Salv,4.1,33.7824787,-118.1963681,"412 W Anaheim St, Long Beach"
ChIJX8gQQ_Az3YARaJHXVfsh0hM,Sirenita's Restaurant,4.0,33.8041377,-118.1962345,"410 W Willow St, Long Beach"
ChIJoSK2Bfgx3YARE4Ui4kvjlUo,La Esperanza Restaurant & Bakery,4.2,33.7876296,-118.1761985,"1626 Orange Ave, Long Beach"
ChIJ89V6TUAz3YARkddfrkgn8QE,ChilTepe,4.3,33.8587024,-118.1851358,"5631 Atlantic Ave, Long Beach"
ChIJJZPjYcY13YARR0TcnrNsuWk,Variedad De Pupusas Restaurante Estela,3.9,33.791226,-118.2671187,"401 W Pacific Coast Hwy, Wilmington"
ChIJS9P4Fb8z3YARCVU4VTVfKmU,Roxanne's,4.3,33.8191142,-118.1780234,"1115 E Wardlow Rd, Long Beach"
ChIJLa5y_9g33YARypaNPW_Q1nM,SAN ANTONIO RESTAURANT,4.0,33.7448573,-118.2876625,"234 N Pacific Ave, San Pedro"
ChIJC4xkZfM13YAR9k4pLrhS3f0,La Casita Torrance,4.4,33.8321978,-118.2977793,"1225 W Carson St, Torrance"
ChIJG5Yfc24x3YAR1NLBvk1k8HQ,Marilus bakery #2 / Panaderia marilus # 2,4.4,33.7822957,-118.1608184,"2608 E Anaheim St, Long Beach"
ChIJNeivRs813YARpVCgvZEQFG4,El Metapaneco,3.8,33.7905006,-118.2627516,"1352 N Avalon Blvd, Wilmington"
ChIJ9VTiHecz3YARAJgzz0BYwew,La Santaneca,3.8,33.8018712,-118.1851872,"2461 Atlantic Ave, Long Beach"
ChIJ9_vY-xIx3YARNiezvuQHjKE,La Ceiba Restaurant,4.0,33.7819306,-118.1875875,"400 E Anaheim St Ste A, Long Beach"
ChIJwZ3tziU23YAR8qvnTbdG3qU,La Cocina De Paquita,4.0,33.7398876,-118.2926361,"441 S Gaffey St, San Pedro"
ChIJL7R5lGcz3YARa31jIO7m0Dw,La Guanaquita #2,3.9,33.8531973,-118.1960381,"5344 Long Beach Blvd B, Long Beach"
ChIJCVqZE2w13YARr9E9cotHX6E,El Kiosco Pupuseria,4.4,33.7880329,-118.2632713,"1245 N Avalon Blvd, Wilmington"
ChIJ3X9RWHQx3YARy3TZgcI7Gm0,Mi Tierra K-Tracha,4.1,33.7827291,-118.1628899,"2417 E Anaheim St, Long Beach"
ChIJ83P3910x3YARjWsEqlSoH7w,La Guanaquita,4.2,33.7899882,-118.1826786,"801 CA-1, Long Beach"
ChIJ7xJLqEI13YARTd2ws7O7QyE,Pupuseria La Quebrada,4.3,33.7907114,-118.2972974,"1111 Pacific Coast Hwy ste 1, Harbor City"
ChIJ8S0pi3A13YARXSJvuYq9-6s,Pupuseria Salvadoreña,4.2,33.8187551,-118.2863173,"22827 S Figueroa St, Carson"
ChIJya-qhfk13YARnaAScPy0zhs,Restaurante salvadoreño El Buen Amanecer,4.2,33.7794381,-118.2622708,"730 N Avalon Blvd, Wilmington"
ChIJNVyCdmsz3YARlXs7NtUe24Q,Pupuseria Brisas De Acajutla,4.4,33.852629,-118.1851581,"5303 Atlantic Ave, Long Beach"
ChIJezkUWw4x3YARpzvqMxdPYSg,Honduras' Kitchen,4.3,33.7718193,-118.1685437,"1909 E 4th St, Long Beach"
ChIJlVU8NRUx3YAR2ROF-1LMiwY,Frutilandia,4.4,33.7755517,-118.1809077,"865 E 7th St B, Long Beach"
ChIJu8-5YcY13YARQ-5uDsoYZOA,tea lovers and juices,4.7,33.791312,-118.267175,"401 W Pacific Coast Hwy, Wilmington"
